Row,Column,*Target Name,*Sample Name
A,1,varATS,
A,2,varATS,
A,3,varATS,
A,4,varATS,
A,5,varATS,
A,6,varATS,
A,7,varATS,
A,8,varATS,
A,9,varATS,
A,10,varATS,
A,11,varATS,
A,12,varATS,
B,1,varATS,
B,2,varATS,
B,3,varATS,
B,4,varATS,
B,5,varATS,
B,6,varATS,
B,7,varATS,
B,8,varATS,
B,9,varATS,
B,10,varATS,
B,11,varATS,
B,12,varATS,
C,1,varATS,
C,2,varATS,
C,3,varATS,
C,4,varATS,
C,5,varATS,
C,6,varATS,
C,7,varATS,
C,8,varATS,
C,9,varATS,
C,10,varATS,
C,11,varATS,
C,12,varATS,
D,1,varATS,
D,2,varATS,
D,3,varATS,
D,4,varATS,
D,5,varATS,
D,6,varATS,
D,7,varATS,
D,8,varATS,
D,9,varATS,
D,10,varATS,
D,11,varATS,
D,12,varATS,
E,1,varATS,
E,2,varATS,
E,3,varATS,
E,4,varATS,
E,5,varATS,
E,6,varATS,
E,7,varATS,
E,8,varATS,
E,9,varATS,
E,10,varATS,
E,11,varATS,
E,12,varATS,
F,1,varATS,
F,2,varATS,
F,3,varATS,
F,4,varATS,
F,5,varATS,
F,6,varATS,
F,7,varATS,
F,8,varATS,
F,9,varATS,
F,10,varATS,
F,11,varATS,
F,12,varATS,
G,1,varATS,
G,2,varATS,
G,3,varATS,
G,4,varATS,
G,5,varATS,
G,6,varATS,
G,7,varATS,
G,8,varATS,
G,9,varATS,
G,10,varATS,
G,11,varATS,
G,12,varATS,
H,1,varATS,
H,2,varATS,
H,3,varATS,
H,4,varATS,
H,5,varATS,
H,6,varATS,
H,7,varATS,
H,8,varATS,
H,9,varATS,
H,10,varATS,
H,11,varATS,
H,12,varATS,
