Row,Column,Barcode
A,1,8068188280
A,2,4051125255
A,3,4051125108
A,4,4051125010
A,5,8068189087
A,6,8068188495
A,7,1148499610
A,8,1148499592
A,9,1148500322
A,10,1148500080
A,11,1148500340
A,12,1148500074
B,1,1148500111
B,2,1148500140
B,3,1148500112
B,4,1148500094
B,5,1148499901
B,6,1148499899
B,7,1148500323
B,8,1148500346
B,9,1148500110
B,10,1148500344
B,11,1148500342
B,12,1148500294
C,1,1148500089
C,2,1148500077
C,3,1148500113
C,4,1148500130
C,5,1148499898
C,6,1148499934
C,7,1148500312
C,8,1148500336
C,9,1148500117
C,10,1148500082
C,11,1148500083
C,12,1148500137
D,1,1148500153
D,2,1148500159
D,3,1148500131
D,4,1148499842
D,5,1148499836
D,6,1148499879
D,7,1148499872
D,8,1148499614
D,9,1148499602
D,10,1148499861
D,11,1148500339
D,12,1148500087
E,1,1148500341
E,2,1148500330
E,3,1148500098
E,4,1148499840
E,5,1148499833
E,6,1148499871
E,7,1148499603
E,8,1148500119
E,9,1148500156
E,10,1148500320
E,11,1148500285
E,12,1148500318
F,1,1148500308
F,2,1148500101
F,3,1148499837
F,4,1148499834
F,5,1148500302
F,6,1148499852
F,7,1148500108
F,8,1148500297
F,9,1148500296
F,10,1148500067
F,11,1148500319
F,12,1148500349
G,1,1148500124
G,2,1148499876
G,3,1148499938
G,4,1148499874
G,5,1148500315
G,6,1148500298
G,7,1148500345
G,8,1147453256
G,9,1148500303
G,10,1148500316
G,11,1148500121
G,12,1148500126
H,1,1148499910
H,2,1148499877
H,3,1148500122
H,4,1148499850
H,5,1148500097
H,6,1148500337
H,7,1148500073
H,8,1147453254
H,9,1148500317
H,10,1148500335
H,11,1148500160
H,12,1148499911
